HUGO_SYMBOL	Entrez_Gene_Id	Bill_Tumor
ANAPC10	00000	8.56
ANAPC11	00000	51.93
ANAPC13	00000	67.31
ANAPC15	00000	30.35
ANAPC16	00000	103.6
ANAPC2	00000	18.33
ANAPC4	00000	7.35
ANAPC5	00000	37.54
ANAPC7	00000	20.97
ANG	00000	10.58
ANGEL1	00000	8.71
ANGEL2	00000	8.72
ANGPT1	00000	5.69
ANGPT2	00000	3.4
ANGPT4	00000	0.3
ANGPTL1	00000	14
ANGPTL2	00000	17.8
ANGPTL3	00000	11.24
ANGPTL4	00000	2.5
ANGPTL5	00000	0.08
ANGPTL6	00000	0.53
ANGPTL7	00000	0.12
ANK1	00000	0.74
ANK2	00000	55.73
ANK3	00000	38.87
ANKAR	00000	1.95
ANKDD1A	00000	1.55
ANKDD1B	00000	1.31
ANKEF1	00000	1.44
ANKFN1	00000	0.15
ANKFY1	00000	13.31
ANKH	00000	14.75
ANKHD1	00000	34.76
ANKHD1-EIF4EBP3	00000	2.52
ANKIB1	00000	10.74
ANKK1	00000	0.18
ANKLE1	00000	0.18
ANKLE2	00000	16.2
ANKMY1	00000	5.07
ANKMY2	00000	9.41
ANKRA2	00000	9.5
ANKRD1	00000	0.23
ANKRD10	00000	31.41
ANKRD11	00000	35.02
ANKRD12	00000	26.95
ANKRD13A	00000	18.04
ANKRD13B	00000	1.78
ANKRD13C	00000	6.37
ANKRD13D	00000	19.63
ANKRD16	00000	3.82
ANKRD17	00000	17.17
ANKRD18A	00000	1.31
ANKRD18B	00000	0.29
ANKRD2	00000	9.37
ANKRD20A1	00000	0.51
ANKRD20A2	00000	0.22
ANKRD20A3	00000	0.48
ANKRD20A4	00000	0.56
ANKRD22	00000	1.62
ANKRD23	00000	1.61
ANKRD24	00000	1.34
ANKRD26	00000	4.36
ANKRD27	00000	6.97
ANKRD28	00000	9.82
ANKRD29	00000	4.23
ANKRD30A	00000	0.01
ANKRD30B	00000	0.03
ANKRD30BL	00000	0
ANKRD31	00000	0.14
ANKRD32	00000	1.28
ANKRD33	00000	0.02
ANKRD33B	00000	1.97
ANKRD34A	00000	0.43
ANKRD34B	00000	0.18
ANKRD34C	00000	0.02
ANKRD35	00000	0.64
ANKRD36	00000	5.29
ANKRD36C	00000	2.12
ANKRD37	00000	7.41
ANKRD39	00000	5.19
ANKRD40	00000	14.46
ANKRD42	00000	7.23
ANKRD44	00000	2.84
ANKRD45	00000	1.43
ANKRD46	00000	14.08
ANKRD49	00000	8.91
ANKRD50	00000	2.72
ANKRD52	00000	9.28
ANKRD53	00000	0.77
ANKRD54	00000	19.01
ANKRD55	00000	0.11
ANKRD6	00000	7.71
ANKRD61	00000	0.14
ANKRD62	00000	0
ANKRD63	00000	0.09
ANKRD65	00000	3.93
ANKRD66	00000	0
ANKRD7	00000	0.58
ANKRD9	00000	12.89
ANKS1A	00000	7.74
ANKS1B	00000	2.69
ANKS3	00000	13.3
ANKS4B	00000	3.63
ANKS6	00000	9.54
ANKUB1	00000	0.06
ANKZF1	00000	24.32
ANLN	00000	0.25
ANO1	00000	4.92
ANO10	00000	15.49
ANO2	00000	0.67
ANO3	00000	0.74
ANO4	00000	0.16
ANO5	00000	1.66
ANO6	00000	21.36
ANO7	00000	1.24
ANO8	00000	4.18
ANO9	00000	7.34
ANP32A	00000	78.11
ANP32B	00000	71.67
ANP32D	00000	0
ANP32E	00000	22.34
ANPEP	00000	123.46
ANTXR1	00000	10.05
ANTXR2	00000	20.8
ANTXRL	00000	0.03
ANXA1	00000	27
ANXA10	00000	0.02
ANXA11	00000	176.83
ANXA13	00000	1.95
ANXA2	00000	150.1
ANXA2R	00000	0.79
ANXA3	00000	24.51
ANXA4	00000	50.96
ANXA5	00000	119.47
ANXA6	00000	43.37
ANXA7	00000	52.75
ANXA8	00000	0.1
ANXA8L1	00000	0.24
ANXA8L2	00000	0.37
ANXA9	00000	14.69
AOAH	00000	1.23
AOC1	00000	55.32
AOC2	00000	0.5
AOC3	00000	29.64
AOX1	00000	25.2
AP1AR	00000	11.78
AP1B1	00000	25.1
AP1G1	00000	24.51
AP1G2	00000	39.59
AP1M1	00000	22.81
AP1M2	00000	47.14
AP1S1	00000	28.7
AP1S2	00000	7.87
AP1S3	00000	8.2
AP2A1	00000	20.05
AP2A2	00000	47.41
AP2B1	00000	43.91
AP2M1	00000	156.19
AP2S1	00000	52.69
AP3B1	00000	17.65
AP3B2	00000	0.9
AP3D1	00000	36.73
AP3M1	00000	12.1
AP3M2	00000	8.16
AP3S1	00000	18.16
AP3S2	00000	21.9
AP4B1	00000	6.2
AP4E1	00000	2.03
AP4M1	00000	8.85
AP4S1	00000	5.07
AP5B1	00000	4.34
AP5M1	00000	15.68
AP5S1	00000	8.77
AP5Z1	00000	11.56
APAF1	00000	3.61
APBA1	00000	1.88
APBA2	00000	0.35
APBA3	00000	12.18
APBB1	00000	22.76
APBB1IP	00000	3.23
APBB2	00000	18.38
APBB3	00000	13.31
APC	00000	3.81
APC2	00000	0.09
APCDD1	00000	11.49
APCDD1L	00000	3.94
APCS	00000	3.71
APEH	00000	60.83
APEX1	00000	60.34
APEX2	00000	5.37
APH1A	00000	70.87
APH1B	00000	7.65
API5	00000	31.41
APIP	00000	25.89
APITD1	00000	22.67
APITD1-CORT	00000	1.16
APLF	00000	0.62
APLN	00000	3.97
APLNR	00000	5.14
APLP1	00000	2.54
APLP2	00000	292.16
APMAP	00000	43.1
APOA1	00000	0.79
APOA1BP	00000	60.58
APOA2	00000	0.31
APOA4	00000	0
APOA5	00000	0
APOB	00000	0.07
APOBEC1	00000	0
APOBEC2	00000	0.23
APOBEC3A	00000	0.16
APOBEC3B	00000	0.5
APOBEC3C	00000	6.57
APOBEC3D	00000	1.03
APOBEC3F	00000	2.37
APOBEC3G	00000	5.88
APOBEC3H	00000	0.31
APOBEC4	00000	0.01
APOBR	00000	1.43
APOC1	00000	9.85
APOC2	00000	4.84
APOC3	00000	5.67
APOC4	00000	0
APOC4-APOC2	00000	0.01
APOD	00000	35.91
APOE	00000	604.32
APOF	00000	0.07
APOH	00000	4.9
APOL1	00000	22
APOL2	00000	15.51
APOL3	00000	14.95
APOL4	00000	1.8
APOL5	00000	0.01
APOL6	00000	4.16
APOLD1	00000	4.19
APOM	00000	39.23
APOO	00000	18.2
APOOL	00000	4.2
APOPT1	00000	22.08
APP	00000	565.07
APPBP2	00000	6.91
APPL1	00000	11.07
APPL2	00000	17.01
APRT	00000	47.54
APTX	00000	12.92
AQP1	00000	352.69
AQP10	00000	0.01
AQP11	00000	1.31
AQP12A	00000	0.02
AQP12B	00000	0
AQP2	00000	988.47
AQP3	00000	274.79
AQP4	00000	1.99
AQP5	00000	2.3
AQP6	00000	48.87
AQP7	00000	19.31
AQP8	00000	0.01
AQP9	00000	0.21
AQR	00000	9.12
AR	00000	3
ARAF	00000	40.09
ARAP1	00000	36.17
ARAP2	00000	2.44
ARAP3	00000	6.87
ARC	00000	2.15
ARCN1	00000	42.98
AREG	00000	0.52
AREGB	00000	0.02
AREL1	00000	12.43
ARF1	00000	202.96
ARF3	00000	55.19
ARF4	00000	70.93
ARF5	00000	79.43
ARF6	00000	40.8
ARFGAP1	00000	28.7
ARFGAP2	00000	42.35
ARFGAP3	00000	16.69
ARFGEF1	00000	19.16
ARFGEF2	00000	10.03
ARFIP1	00000	16.54
ARFIP2	00000	26.22
ARFRP1	00000	23.58
ARG1	00000	0.01
ARG2	00000	70.17
ARGLU1	00000	54.2
ARHGAP1	00000	30.58
ARHGAP10	00000	5.89
ARHGAP11A	00000	0.55
ARHGAP11B	00000	0.46
ARHGAP12	00000	11.16
ARHGAP15	00000	2.45
ARHGAP17	00000	16.71
ARHGAP18	00000	15.21
ARHGAP19	00000	3.21
ARHGAP19-SLIT1	00000	0.07
ARHGAP20	00000	0.39
ARHGAP21	00000	9.81
ARHGAP22	00000	0.73
ARHGAP23	00000	10.06
ARHGAP24	00000	59.37
ARHGAP25	00000	4.21
ARHGAP26	00000	3.58
ARHGAP27	00000	12.52
ARHGAP28	00000	3.77
ARHGAP29	00000	20.58
ARHGAP30	00000	2.39
ARHGAP31	00000	3.47
ARHGAP32	00000	4.25
ARHGAP33	00000	7.63
ARHGAP35	00000	21.15
ARHGAP36	00000	0
ARHGAP39	00000	2.31
ARHGAP4	00000	21.46
ARHGAP40	00000	0.84
ARHGAP42	00000	4.12
ARHGAP44	00000	5.86
ARHGAP5	00000	29.59
ARHGAP6	00000	5.51
ARHGAP8	00000	18.98
ARHGAP9	00000	4.29
ARHGDIA	00000	160.38
ARHGDIB	00000	61.54
ARHGDIG	00000	0.02
ARHGEF1	00000	27.64
ARHGEF10	00000	8.18
ARHGEF10L	00000	28.49
ARHGEF11	00000	9.61
ARHGEF12	00000	44.09
ARHGEF15	00000	9.4
ARHGEF16	00000	15.42
ARHGEF17	00000	32.17
ARHGEF18	00000	21.98
ARHGEF19	00000	3.41
ARHGEF2	00000	27.29
ARHGEF25	00000	12.29
ARHGEF26	00000	1.47
ARHGEF28	00000	18.77
ARHGEF3	00000	13.78
ARHGEF33	00000	0.58
ARHGEF35	00000	17.25
ARHGEF37	00000	6.74
ARHGEF38	00000	1.04
ARHGEF39	00000	0.45
ARHGEF4	00000	0.95
ARHGEF40	00000	15.72
ARHGEF5	00000	11.27
ARHGEF6	00000	4.84
ARHGEF7	00000	17.49
ARHGEF9	00000	6.47
ARID1A	00000	17.41
ARID1B	00000	11.56
ARID2	00000	4.39
ARID3A	00000	5.33
ARID3B	00000	1.74
ARID3C	00000	0.01
ARID4A	00000	12.66
ARID4B	00000	14.43
ARID5A	00000	9.08
ARID5B	00000	13.48
ARIH1	00000	14.84
ARIH2	00000	32.29
ARIH2OS	00000	2.25
ARL1	00000	33.36
ARL10	00000	1.99
ARL11	00000	0.21
ARL13A	00000	0.01
ARL13B	00000	5.28
ARL14	00000	0.06
ARL14EP	00000	12.66
ARL14EPL	00000	0.14
ARL15	00000	23.9
ARL16	00000	18.88
ARL17A	00000	6.8
ARL17B	00000	6.62
ARL2	00000	76.26
ARL2BP	00000	26.27
ARL3	00000	9.39
ARL4A	00000	4.92
ARL4C	00000	4.66
ARL4D	00000	34.11
ARL5A	00000	14.96
ARL5B	00000	2.47
ARL5C	00000	0.12
ARL6	00000	5.28
ARL6IP1	00000	98.17
ARL6IP4	00000	131.46
ARL6IP5	00000	53.79
ARL6IP6	00000	4.82
ARL8A	00000	31.58
ARL8B	00000	29.08
ARL9	00000	0.02
ARMC1	00000	10.16
ARMC10	00000	14.95
ARMC12	00000	0.42
ARMC2	00000	2.24
ARMC3	00000	0.34
ARMC4	00000	0.09
ARMC5	00000	4.64
ARMC6	00000	9.98
ARMC7	00000	18.5
ARMC8	00000	9.14
ARMC9	00000	4.46
ARMCX1	00000	12.38
ARMCX2	00000	21.5
ARMCX3	00000	33.38
ARMCX4	00000	6.75
ARMCX5	00000	5.57
ARMCX6	00000	18
ARMS2	00000	0.03
ARNT	00000	16.19
ARNT2	00000	16.78
ARNTL	00000	4.85
ARNTL2	00000	0.42
ARPC1A	00000	54.11
ARPC1B	00000	58.78
ARPC2	00000	100.1
ARPC3	00000	121.65
ARPC4	00000	69.37
ARPC4-TTLL3	00000	5.7
ARPC5	00000	43.49
ARPC5L	00000	18.16
ARPP19	00000	35.64
ARPP21	00000	0.49
ARR3	00000	0.02
ARRB1	00000	15.54
ARRB2	00000	17.81
ARRDC1	00000	33.4
ARRDC2	00000	10
ARRDC3	00000	58.27
ARRDC4	00000	12.58
ARRDC5	00000	0.07
ARSA	00000	15.86
ARSB	00000	7.49
ARSD	00000	34.48
ARSE	00000	18.22
ARSF	00000	1.91
ARSG	00000	2.32
ARSH	00000	0.01
