HUGO_SYMBOL	Entrez_Gene_Id	Bill_Normal
AMY2A	00000	2.73
AMY2B	00000	165.57
AMZ1	00000	4.78
AMZ2	00000	2664.15
ANAPC1	00000	164.42
ANAPC10	00000	293.07
ANAPC11	00000	5517.27
ANAPC13	00000	1617
ANAPC15	00000	733.19
ANAPC16	00000	3060.45
ANAPC2	00000	473.41
ANAPC4	00000	287.01
ANAPC5	00000	1331.57
ANAPC7	00000	665.29
ANG	00000	297.17
ANGEL1	00000	228.13
ANGEL2	00000	277.2
ANGPT1	00000	4.74
ANGPT2	00000	18.84
ANGPT4	00000	0
ANGPTL1	00000	30.78
ANGPTL2	00000	909.17
ANGPTL3	00000	65.72
ANGPTL4	00000	571.05
ANGPTL5	00000	0.37
ANGPTL6	00000	3.96
ANGPTL7	00000	90.14
ANK1	00000	13.52
ANK2	00000	23.42
ANK3	00000	2148.82
ANKAR	00000	34.02
ANKDD1A	00000	15.91
ANKDD1B	00000	56.28
ANKEF1	00000	54.72
ANKFN1	00000	0
ANKFY1	00000	555.41
ANKH	00000	384.34
ANKHD1	00000	1135.2
ANKHD1-EIF4EBP3	00000	208.38
ANKIB1	00000	1651
ANKK1	00000	7.82
ANKLE1	00000	1.89
ANKLE2	00000	493.56
ANKMY1	00000	149.12
ANKMY2	00000	420.68
ANKRA2	00000	229.72
ANKRD1	00000	23.42
ANKRD10	00000	1088.92
ANKRD11	00000	909.17
ANKRD12	00000	133.36
ANKRD13A	00000	460.44
ANKRD13B	00000	16.03
ANKRD13C	00000	170.25
ANKRD13D	00000	201.25
ANKRD16	00000	128.79
ANKRD17	00000	490.14
ANKRD18A	00000	44.25
ANKRD18B	00000	0.39
ANKRD2	00000	146.03
ANKRD20A1	00000	2.58
ANKRD20A2	00000	1.08
ANKRD20A3	00000	8.78
ANKRD20A4	00000	1.11
ANKRD22	00000	5.54
ANKRD23	00000	8.65
ANKRD24	00000	64.8
ANKRD26	00000	68.07
ANKRD27	00000	277.2
ANKRD28	00000	224.97
ANKRD29	00000	426.57
ANKRD30A	00000	0
ANKRD30B	00000	0
ANKRD30BL	00000	0
ANKRD31	00000	0.36
ANKRD32	00000	60.39
ANKRD33	00000	2.58
ANKRD33B	00000	35.5
ANKRD34A	00000	1.11
ANKRD34B	00000	0
ANKRD34C	00000	0
ANKRD35	00000	0.74
ANKRD36	00000	59.13
ANKRD36C	00000	7.4
ANKRD37	00000	708.18
ANKRD39	00000	136.19
ANKRD40	00000	607.87
ANKRD42	00000	299.25
ANKRD44	00000	27.25
ANKRD45	00000	82.29
ANKRD46	00000	334.46
ANKRD49	00000	158.79
ANKRD50	00000	42.41
ANKRD52	00000	242.88
ANKRD53	00000	0.4
ANKRD54	00000	514.56
ANKRD55	00000	3.63
ANKRD6	00000	202.66
ANKRD61	00000	7.34
ANKRD62	00000	0
ANKRD63	00000	8
ANKRD65	00000	3.69
ANKRD66	00000	0
ANKRD7	00000	14.35
ANKRD9	00000	493.56
ANKS1A	00000	206.94
ANKS1B	00000	89.51
ANKS3	00000	536.45
ANKS4B	00000	551.56
ANKS6	00000	493.56
ANKUB1	00000	0
ANKZF1	00000	351.14
ANLN	00000	15.68
ANO1	00000	14.03
ANO10	00000	540.19
ANO2	00000	7.63
ANO3	00000	0.74
ANO4	00000	1.14
ANO5	00000	26.47
ANO6	00000	483.38
ANO7	00000	88.26
ANO8	00000	106.63
ANO9	00000	305.55
ANP32A	00000	2468.49
ANP32B	00000	1781.89
ANP32D	00000	0
ANP32E	00000	406.31
ANPEP	00000	22535.88
ANTXR1	00000	90.77
ANTXR2	00000	191.67
ANTXRL	00000	0
ANXA1	00000	5441.3
ANXA10	00000	1.08
ANXA11	00000	4903.87
ANXA13	00000	4575.41
ANXA2	00000	8479.89
ANXA2R	00000	15.8
ANXA3	00000	463.65
ANXA4	00000	9740.98
ANXA5	00000	3768.09
ANXA6	00000	1427.22
ANXA7	00000	4010.71
ANXA8	00000	0
ANXA8L1	00000	0
